ID,spEffectBehaviorId0
16010900,109900
16011000,109900
16011100,109900
16011400,109900
16011500,109900
16011700,109900
16011800,109900
16012300,109900
16030900,109900
16031000,109900
16031100,109900
16031400,109900
16031500,109900
16031700,109900
16031800,109900
16032300,109900
16050900,109900
16051000,109900
16051100,109900
16051400,109900
16051500,109900
16051700,109900
16051800,109900
16052300,109900
16070900,109900
16071000,109900
16071100,109900
16071400,109900
16071500,109900
16071700,109900
16071800,109900
16072300,109900
16110900,105000
16111000,105000
16111100,105018
16111400,105000
16111500,105000
16111700,105000
16111800,105000
16112300,105003
16140900,104996
16141000,104996
16141100,105016
16141400,104996
16141500,104996
16141700,104996
16141800,104996
16142300,104996
16180900,109900
16181000,109900
16181100,109900
16181400,109900
16181500,109900
16181700,109900
16181800,109900
16182300,109900
17510900,109900
17511000,109900
17511100,109900
17511400,109900
17511500,109900
17511700,109900
17511800,109900
17512300,109900
