ID,spEffectBehaviorId1

10000900,107515
10001000,106018
10001100,105010
10001400,105515
10001500,108510
10001700,107018
10001800,108022
10030900,107515
10031000,106018
10031100,105010
10031400,105515
10031500,108510
10031700,107018
10031800,108022
10080900,107515
10081000,106018
10081100,105010
10081400,105515
10081500,108510
10081700,107018
10081800,108022
10100900,107515
10101000,106018
10101100,105010
10101400,105515
10101500,108510
10101700,107018
10101800,108022
10002300,107515

16010900,107515
16011000,106018
16011100,105010
16011400,105510
16011500,108510
16011700,107018
16011800,108022
16012300,109900
16030900,107515
16031000,106018
16031100,105010
16031400,105508
16031500,108510
16031700,107018
16031800,108022
16032300,109900
16050900,107515
16051000,106018
16051100,105010
16051400,105508
16051500,108510
16051700,107018
16051800,108022
16052300,109900
16070900,107515
16071000,106018
16071100,105010
16071400,105508
16071500,108510
16071700,107018
16071800,108022
16072300,109900
16110900,107506
16111000,106004
16111100,109900
16111400,105506
16111500,108502
16111700,107009
16111800,108012
16112300,109900
16140900,107506
16141000,106004
16141100,109900
16141400,105506
16141500,108502
16141700,107009
16141800,108012
16142300,105506
16180900,107515
16181000,106018
16181100,105010
16181400,105508
16181500,108510
16181700,107018
16181800,108022
16182300,109900
17510900,107500
17511000,106000
17511100,105000
17511400,105500
17511500,108500
17511700,107000
17511800,108000
17512300,109900
16060000,109900
16060100,109900
16060200,109900
16060300,109900
16060400,109900
16060500,109900
16060600,109900
16060700,109900
16060800,109900
16060900,107504
16061000,106006
16061100,105006
16061200,109900
16061300,109900
16061400,105506
16061500,109900
16061600,109900
16061700,107009
16061800,108012
16061900,109900
16062000,109900
16062100,109900
16062200,109900
16062300,107504
